	act	cens	comp	del	enq	epi	nec	pou	rjud	ter	vis
Orleans-S-Croix	369	1	0	0	0	0	0	0	17	0	0
S-Gondon	35	0	0	0	0	0	0	0	0	0	0
Morienval	110	0	0	0	0	0	0	0	0	0	0
Pontoise-S-Martin	212	0	0	0	0	0	7	0	2	0	0
Pontoise-Hotel-Dieu	172	6	2	0	0	0	0	0	3	0	0
Montmartre	174	2	6	0	0	0	0	8	0	4	0
Paris-S-Martin-des-Champs	1371	2	0	0	0	1	0	0	1	0	0
Vaux-de-Cernay	1091	1	0	0	0	0	0	0	0	0	0
S-Leu-d-Esserent	214	0	0	0	0	0	0	0	7	0	1
S-Christophe-en-Halatte	68	0	0	0	0	0	0	0	2	0	0
SGDP	0	0	0	0	0	0	0	0	0	0	0
Roche	133	0	0	0	1	0	0	0	1	0	0
Paris-S-Merri	46	0	0	0	0	0	0	0	11	0	0
Micy	0	0	0	0	0	0	0	0	0	0	0
S-Germain-en-Laye	22	0	0	0	0	0	0	0	4	0	0
Epernon	116	0	0	0	0	0	0	0	19	0	0
Maintenon	38	0	0	0	0	0	0	0	4	0	0
Chartres-N-D	393	0	1	0	0	0	0	0	0	1	0
Port-Royal	332	0	0	0	0	0	5	0	0	0	0
Corbeil-S-Spire	123	0	0	1	0	0	0	0	1	0	0
