	placeName	persName	rs place	rs pers	rs autre
Chartres-N-D	2932	3493	2	1624	0
Corbeil-S-Spire	842	1177	22	552	0
Epernon	981	876	5	421	0
Maintenon	273	318	8	114	0
Micy	0	0	0	0	0
Montmartre	1411	1837	77	625	0
Morienval	987	1006	22	461	0
Orleans-S-Croix	3362	3619	37	1381	0
Paris-S-Martin-des-Champs	10287	13717	40	6183	0
Paris-S-Merri	504	556	3	195	0
Pontoise-Hotel-Dieu	1160	1505	45	123	0
Pontoise-S-Martin	1560	3784	3	1128	0
Port-Royal	1376	1625	65	515	0
Roche	1215	1005	24	430	0
S-Christophe-en-Halatte	601	469	18	193	0
S-Germain-en-Laye	196	278	5	124	0
S-Gondon	352	769	0	269	0
S-Leu-d-Esserent	1046	1761	1	751	0
SGDP	103	0	0	0	0
Vaux-de-Cernay	6380	8941	106	3215	0
totaux	35568	46736	483	18304	0
